ID_Factura,Fecha_Envio,Fecha_Recepcion,Producto,Proveedor,Categoria,Subcategoria,Cantidad,Costo_Unitario,Precio_Presupuesto,Total_Compra,Ciudad_Origen,Region,Almacen_Destino,Dias_en_Transito,Estado_Entrega,Bandera_Incidencia,Nivel_Severidad,Responsable
FAC-3016,09/02/2026,10/02/2026,Vegetales Especial,Proveedor_Vegetales_Mon,Perecederos,Vegetales,339,27.95,29.35,9475.05,Monterrey,Norte,Almacen Norte,1,Entregado,0,,A. Morales
FAC-3017,13/03/2026,19/03/2026,Frutas Especial,Proveedor_Frutas_Mer,Perecederos,Frutas,185,47.63,46.1,8811.55,Merida,Sureste,Almacen Sur,6,Entregado,0,,A. Morales
FAC-3018,22/01/2026,24/01/2026,Aceites Especial,Proveedor_Aceites_Gua,Abarrotes,Aceites,168,722.99,619.37,121462.32,Guadalajara,Occidente,Almacen Central,2,Entregado,0,,A. Morales
FAC-3019,09/01/2026,11/01/2026,Res Especial,Proveedor_Res_Gua,Proteínas,Res,306,169.79,158.28,51955.74,Guadalajara,Occidente,Almacen Central,2,Entregado,0,,A. Morales
FAC-3020,12/01/2026,14/01/2026,Aceites Especial,Proveedor_Aceites_CDM,Abarrotes,Aceites,140,498.27,488.11,69757.8,CDMX,Centro,Almacen Sur,2,Entregado,0,,A. Morales
FAC-3021,01/02/2026,02/02/2026,Aceites Especial,Proveedor_Aceites_CDM,Abarrotes,Aceites,238,698.09,698.79,166145.42,CDMX,Centro,Almacen Sur,1,Rechazado,1,5.0,A. Morales
FAC-3022,15/02/2026,19/02/2026,Aves Especial,Proveedor_Aves_Mer,Proteínas,Aves,71,99.54,94.39,7067.34,Merida,Sureste,Almacen Sur,4,Entregado,0,,A. Morales
FAC-3023,18/02/2026,21/02/2026,Granos Especial,Proveedor_Granos_Gua,Abarrotes,Granos,154,26.23,24.24,4039.42,Guadalajara,Occidente,Almacen Central,3,Entregado,0,,A. Morales
FAC-3024,01/01/2026,04/01/2026,Granos Especial,Proveedor_Granos_Gua,Abarrotes,Granos,28,16.83,15.51,471.24,Guadalajara,Occidente,Almacen Central,3,Entregado,0,,A. Morales
FAC-3025,18/01/2026,19/01/2026,Aves Especial,Proveedor_Aves_Mon,Proteínas,Aves,196,92.66,95.88,18161.36,Monterrey,Norte,Almacen Norte,1,Entregado,0,,A. Morales
FAC-3026,15/02/2026,16/02/2026,Cerdo Especial,Proveedor_Cerdo_CDM,Proteínas,Cerdo,328,116.08,117.36,38074.24,CDMX,Centro,Almacen Sur,1,Entregado,0,,A. Morales
FAC-3027,27/02/2026,03/03/2026,Bebidas Especial,Proveedor_Bebidas_Mer,Abarrotes,Bebidas,357,40.16,38.55,14337.12,Merida,Sureste,Almacen Sur,4,Entregado,0,,A. Morales
FAC-3028,02/03/2026,04/03/2026,Aves Especial,Proveedor_Aves_CDM,Proteínas,Aves,184,101.53,102.26,18681.52,CDMX,Centro,Almacen Sur,2,Entregado,0,,A. Morales
FAC-3029,08/03/2026,09/03/2026,Bebidas Especial,Proveedor_Bebidas_CDM,Abarrotes,Bebidas,160,41.73,41.32,6676.8,CDMX,Centro,Almacen Sur,1,Parcial,1,6.0,A. Morales
FAC-3030,04/03/2026,06/03/2026,Vegetales Especial,Proveedor_Vegetales_Mon,Perecederos,Vegetales,61,30.72,29.76,1873.92,Monterrey,Norte,Almacen Norte,2,Entregado,0,,A. Morales
FAC-3031,31/01/2026,06/02/2026,Granos Especial,Proveedor_Granos_Mer,Abarrotes,Granos,30,17.27,16.74,518.1,Merida,Sureste,Almacen Sur,6,Entregado,0,,A. Morales
FAC-3032,11/01/2026,13/01/2026,Frutas Especial,Proveedor_Frutas_CDM,Perecederos,Frutas,45,45.1,42.06,2029.5,CDMX,Centro,Almacen Sur,2,Entregado,0,,A. Morales
FAC-3033,06/01/2026,09/01/2026,Bebidas Especial,Proveedor_Bebidas_Gua,Abarrotes,Bebidas,85,17.09,16.75,1452.65,Guadalajara,Occidente,Almacen Central,3,Entregado,0,,A. Morales
FAC-3034,11/02/2026,14/02/2026,Cerdo Especial,Proveedor_Cerdo_Gua,Proteínas,Cerdo,118,132.45,129.11,15629.1,Guadalajara,Occidente,Almacen Central,3,Parcial,1,7.0,A. Morales
FAC-3035,07/03/2026,10/03/2026,Aves Especial,Proveedor_Aves_Gua,Proteínas,Aves,96,92.11,92.84,8842.56,Guadalajara,Occidente,Almacen Central,3,Entregado,0,,A. Morales
FAC-3036,03/02/2026,06/02/2026,Res Especial,Proveedor_Res_Gua,Proteínas,Res,27,153.09,151.4,4133.43,Guadalajara,Occidente,Almacen Central,3,Entregado,0,,A. Morales
FAC-3037,23/02/2026,24/02/2026,Lácteos Especial,Proveedor_Lácteos_Mon,Perecederos,Lácteos,83,116.14,108.36,9639.62,Monterrey,Norte,Almacen Norte,1,Entregado,0,,A. Morales
FAC-3038,26/01/2026,31/01/2026,Aves Especial,Proveedor_Aves_Mer,Proteínas,Aves,84,102.79,90.35,8634.36,Merida,Sureste,Almacen Sur,5,Entregado,0,,A. Morales
FAC-3039,09/01/2026,12/01/2026,Granos Especial,Proveedor_Granos_Gua,Abarrotes,Granos,226,21.66,20.42,4895.16,Guadalajara,Occidente,Almacen Central,3,Entregado,0,,A. Morales
FAC-3040,11/03/2026,13/03/2026,Lácteos Especial,Proveedor_Lácteos_CDM,Perecederos,Lácteos,26,84.81,85.19,2205.06,CDMX,Centro,Almacen Sur,2,Entregado,0,,A. Morales
FAC-3041,11/01/2026,17/01/2026,Bebidas Especial,Proveedor_Bebidas_Mer,Abarrotes,Bebidas,343,37.86,34.19,12985.98,Merida,Sureste,Almacen Sur,6,Entregado,0,,A. Morales
FAC-3042,12/01/2026,17/01/2026,Lácteos Especial,Proveedor_Lácteos_Mer,Perecederos,Lácteos,108,90.42,87.58,9765.36,Merida,Sureste,Almacen Sur,5,Entregado,0,,A. Morales
FAC-3043,23/02/2026,24/02/2026,Lácteos Especial,Proveedor_Lácteos_CDM,Perecederos,Lácteos,315,36.46,34.8,11484.9,CDMX,Centro,Almacen Sur,1,Entregado,0,,A. Morales
FAC-3044,27/03/2026,28/03/2026,Frutas Especial,Proveedor_Frutas_Mon,Perecederos,Frutas,203,59.54,51.62,12086.62,Monterrey,Norte,Almacen Norte,1,Entregado,0,,A. Morales
FAC-3045,07/02/2026,08/02/2026,Granos Especial,Proveedor_Granos_CDM,Abarrotes,Granos,22,23.42,20.05,515.24,CDMX,Centro,Almacen Sur,1,Rechazado,1,8.0,A. Morales
FAC-3046,08/02/2026,12/02/2026,Cerdo Especial,Proveedor_Cerdo_Mer,Proteínas,Cerdo,338,150.9,137.29,51004.2,Merida,Sureste,Almacen Sur,4,Entregado,0,,A. Morales
FAC-3047,04/03/2026,06/03/2026,Res Especial,Proveedor_Res_Gua,Proteínas,Res,256,196.67,174.69,50347.52,Guadalajara,Occidente,Almacen Central,2,Entregado,0,,A. Morales
FAC-3048,13/01/2026,16/01/2026,Granos Especial,Proveedor_Granos_Gua,Abarrotes,Granos,76,15.64,15.35,1188.64,Guadalajara,Occidente,Almacen Central,3,Incidencia,1,2.0,A. Morales
FAC-3049,04/01/2026,06/01/2026,Bebidas Especial,Proveedor_Bebidas_Mon,Abarrotes,Bebidas,130,34.49,35.41,4483.7,Monterrey,Norte,Almacen Norte,2,Parcial,1,10.0,A. Morales
FAC-3050,14/01/2026,17/01/2026,Bebidas Especial,Proveedor_Bebidas_Gua,Abarrotes,Bebidas,330,44.51,42.63,14688.3,Guadalajara,Occidente,Almacen Central,3,Entregado,0,,A. Morales
FAC-3051,25/03/2026,29/03/2026,Res Especial,Proveedor_Res_Mer,Proteínas,Res,132,178.37,166.47,23544.84,Merida,Sureste,Almacen Sur,4,Entregado,0,,A. Morales
FAC-3052,21/01/2026,22/01/2026,Cerdo Especial,Proveedor_Cerdo_CDM,Proteínas,Cerdo,79,133.14,126.23,10518.06,CDMX,Centro,Almacen Sur,1,Entregado,0,,A. Morales
FAC-3053,04/02/2026,05/02/2026,Granos Especial,Proveedor_Granos_CDM,Abarrotes,Granos,53,18.53,18.34,982.09,CDMX,Centro,Almacen Sur,1,Entregado,0,,A. Morales
FAC-3054,27/02/2026,02/03/2026,Frutas Especial,Proveedor_Frutas_Gua,Perecederos,Frutas,210,70.67,64.91,14840.7,Guadalajara,Occidente,Almacen Central,3,Parcial,1,2.0,A. Morales
FAC-3055,17/02/2026,21/02/2026,Cerdo Especial,Proveedor_Cerdo_Mer,Proteínas,Cerdo,29,124.09,126.51,3598.61,Merida,Sureste,Almacen Sur,4,Entregado,0,,A. Morales
FAC-3056,22/01/2026,27/01/2026,Vegetales Especial,Proveedor_Vegetales_Mer,Perecederos,Vegetales,156,38.78,38.8,6049.68,Merida,Sureste,Almacen Sur,5,Entregado,0,,A. Morales
FAC-3057,28/02/2026,06/03/2026,Granos Especial,Proveedor_Granos_Mer,Abarrotes,Granos,69,23.86,21.63,1646.34,Merida,Sureste,Almacen Sur,6,Entregado,0,,A. Morales
FAC-3058,17/03/2026,19/03/2026,Aves Especial,Proveedor_Aves_Gua,Proteínas,Aves,258,82.2,85.68,21207.6,Guadalajara,Occidente,Almacen Central,2,Entregado,0,,A. Morales
FAC-3059,27/01/2026,01/02/2026,Res Especial,Proveedor_Res_Mer,Proteínas,Res,302,185.55,157.65,56036.1,Merida,Sureste,Almacen Sur,5,Parcial,1,7.0,A. Morales
FAC-3060,21/01/2026,22/01/2026,Aceites Especial,Proveedor_Aceites_Mon,Abarrotes,Aceites,201,517.26,458.62,103969.26,Monterrey,Norte,Almacen Norte,1,Entregado,0,,A. Morales
FAC-3061,24/03/2026,29/03/2026,Aves Especial,Proveedor_Aves_Mer,Proteínas,Aves,199,77.04,80.09,15330.96,Merida,Sureste,Almacen Sur,5,Entregado,0,,A. Morales
FAC-3062,10/01/2026,12/01/2026,Lácteos Especial,Proveedor_Lácteos_Mon,Perecederos,Lácteos,213,26.87,26.94,5723.31,Monterrey,Norte,Almacen Norte,2,Parcial,1,4.0,A. Morales
FAC-3063,18/03/2026,21/03/2026,Granos Especial,Proveedor_Granos_Gua,Abarrotes,Granos,102,21.17,19.54,2159.34,Guadalajara,Occidente,Almacen Central,3,Entregado,0,,A. Morales
FAC-3064,01/01/2026,04/01/2026,Granos Especial,Proveedor_Granos_Gua,Abarrotes,Granos,351,16.98,16.24,5959.98,Guadalajara,Occidente,Almacen Central,3,Entregado,0,,A. Morales
FAC-3065,13/01/2026,17/01/2026,Bebidas Especial,Proveedor_Bebidas_Mer,Abarrotes,Bebidas,357,46.36,43.59,16550.52,Merida,Sureste,Almacen Sur,4,Entregado,0,,A. Morales
FAC-3066,29/01/2026,31/01/2026,Lácteos Especial,Proveedor_Lácteos_Gua,Perecederos,Lácteos,341,68.98,58.69,23522.18,Guadalajara,Occidente,Almacen Central,2,Entregado,0,,A. Morales
FAC-3067,12/03/2026,16/03/2026,Res Especial,Proveedor_Res_Mer,Proteínas,Res,167,164.67,154.53,27499.89,Merida,Sureste,Almacen Sur,4,Entregado,0,,A. Morales
FAC-3068,11/03/2026,12/03/2026,Cerdo Especial,Proveedor_Cerdo_Mon,Proteínas,Cerdo,114,144.34,126.21,16454.76,Monterrey,Norte,Almacen Norte,1,Entregado,0,,A. Morales
FAC-3069,06/03/2026,08/03/2026,Vegetales Especial,Proveedor_Vegetales_Mon,Perecederos,Vegetales,311,21.1,18.41,6562.1,Monterrey,Norte,Almacen Norte,2,Entregado,0,,A. Morales
FAC-3070,19/02/2026,23/02/2026,Cerdo Especial,Proveedor_Cerdo_Mer,Proteínas,Cerdo,334,114.87,116.51,38366.58,Merida,Sureste,Almacen Sur,4,Entregado,0,,A. Morales
FAC-3071,16/01/2026,21/01/2026,Cerdo Especial,Proveedor_Cerdo_Mer,Proteínas,Cerdo,243,141.03,134.73,34270.29,Merida,Sureste,Almacen Sur,5,Entregado,0,,A. Morales
FAC-3072,28/01/2026,29/01/2026,Bebidas Especial,Proveedor_Bebidas_Mon,Abarrotes,Bebidas,256,28.03,27.05,7175.68,Monterrey,Norte,Almacen Norte,1,Entregado,0,,A. Morales
FAC-3073,06/02/2026,10/02/2026,Vegetales Especial,Proveedor_Vegetales_Mer,Perecederos,Vegetales,336,16.46,15.9,5530.56,Merida,Sureste,Almacen Sur,4,Entregado,0,,A. Morales
FAC-3074,21/02/2026,24/02/2026,Aceites Especial,Proveedor_Aceites_Gua,Abarrotes,Aceites,131,688.2,691.09,90154.2,Guadalajara,Occidente,Almacen Central,3,Entregado,0,,A. Morales
FAC-3075,23/02/2026,26/02/2026,Granos Especial,Proveedor_Granos_Gua,Abarrotes,Granos,253,20.17,17.28,5103.01,Guadalajara,Occidente,Almacen Central,3,Entregado,0,,A. Morales
FAC-3076,27/02/2026,02/03/2026,Aceites Especial,Proveedor_Aceites_Gua,Abarrotes,Aceites,284,790.86,691.12,224604.24,Guadalajara,Occidente,Almacen Central,3,Entregado,0,,A. Morales
FAC-3077,02/02/2026,04/02/2026,Bebidas Especial,Proveedor_Bebidas_CDM,Abarrotes,Bebidas,196,33.5,31.85,6566.0,CDMX,Centro,Almacen Sur,2,Entregado,0,,A. Morales
FAC-3078,09/02/2026,14/02/2026,Lácteos Especial,Proveedor_Lácteos_Mer,Perecederos,Lácteos,169,53.96,50.6,9119.24,Merida,Sureste,Almacen Sur,5,Entregado,0,,A. Morales
FAC-3079,27/03/2026,02/04/2026,Aceites Especial,Proveedor_Aceites_Mer,Abarrotes,Aceites,198,515.53,469.71,102074.94,Merida,Sureste,Almacen Sur,6,Parcial,1,8.0,A. Morales
FAC-3080,20/01/2026,25/01/2026,Lácteos Especial,Proveedor_Lácteos_Mer,Perecederos,Lácteos,205,35.46,34.6,7269.3,Merida,Sureste,Almacen Sur,5,Rechazado,1,2.0,A. Morales
FAC-3081,06/01/2026,07/01/2026,Bebidas Especial,Proveedor_Bebidas_CDM,Abarrotes,Bebidas,229,42.25,43.45,9675.25,CDMX,Centro,Almacen Sur,1,Entregado,0,,A. Morales
FAC-3082,12/01/2026,16/01/2026,Frutas Especial,Proveedor_Frutas_Mer,Perecederos,Frutas,352,41.95,43.29,14766.4,Merida,Sureste,Almacen Sur,4,Entregado,0,,A. Morales
FAC-3083,25/01/2026,27/01/2026,Vegetales Especial,Proveedor_Vegetales_Gua,Perecederos,Vegetales,286,36.81,31.4,10527.66,Guadalajara,Occidente,Almacen Central,2,Entregado,0,,A. Morales
FAC-3084,04/01/2026,05/01/2026,Aceites Especial,Proveedor_Aceites_Mon,Abarrotes,Aceites,237,619.9,574.78,146916.3,Monterrey,Norte,Almacen Norte,1,Entregado,0,,A. Morales
FAC-3085,10/03/2026,11/03/2026,Res Especial,Proveedor_Res_Mon,Proteínas,Res,146,184.59,163.59,26950.14,Monterrey,Norte,Almacen Norte,1,Entregado,0,,A. Morales
FAC-3086,26/01/2026,28/01/2026,Cerdo Especial,Proveedor_Cerdo_Gua,Proteínas,Cerdo,356,121.89,115.85,43392.84,Guadalajara,Occidente,Almacen Central,2,Entregado,0,,A. Morales
FAC-3087,13/01/2026,19/01/2026,Cerdo Especial,Proveedor_Cerdo_Mer,Proteínas,Cerdo,259,134.48,115.89,34830.32,Merida,Sureste,Almacen Sur,6,Entregado,0,,A. Morales
FAC-3088,21/02/2026,25/02/2026,Vegetales Especial,Proveedor_Vegetales_Mer,Perecederos,Vegetales,165,19.79,20.59,3265.35,Merida,Sureste,Almacen Sur,4,Entregado,0,,A. Morales
FAC-3089,09/02/2026,15/02/2026,Bebidas Especial,Proveedor_Bebidas_Mer,Abarrotes,Bebidas,280,30.14,27.99,8439.2,Merida,Sureste,Almacen Sur,6,Entregado,0,,A. Morales
FAC-3090,23/03/2026,26/03/2026,Aceites Especial,Proveedor_Aceites_Gua,Abarrotes,Aceites,219,592.04,577.98,129656.76,Guadalajara,Occidente,Almacen Central,3,Entregado,0,,A. Morales
FAC-3091,22/02/2026,23/02/2026,Granos Especial,Proveedor_Granos_Mon,Abarrotes,Granos,345,20.2,18.69,6969.0,Monterrey,Norte,Almacen Norte,1,Entregado,0,,A. Morales
FAC-3092,02/02/2026,05/02/2026,Vegetales Especial,Proveedor_Vegetales_Gua,Perecederos,Vegetales,140,23.16,20.99,3242.4,Guadalajara,Occidente,Almacen Central,3,Entregado,0,,A. Morales
FAC-3093,22/02/2026,24/02/2026,Res Especial,Proveedor_Res_Gua,Proteínas,Res,25,153.3,141.69,3832.5,Guadalajara,Occidente,Almacen Central,2,Incidencia,1,2.0,A. Morales
FAC-3094,05/01/2026,07/01/2026,Aceites Especial,Proveedor_Aceites_Gua,Abarrotes,Aceites,218,521.67,490.37,113724.06,Guadalajara,Occidente,Almacen Central,2,Entregado,0,,A. Morales
FAC-3095,28/02/2026,01/03/2026,Res Especial,Proveedor_Res_CDM,Proteínas,Res,219,177.54,157.34,38881.26,CDMX,Centro,Almacen Sur,1,Parcial,1,3.0,A. Morales
FAC-3096,06/03/2026,12/03/2026,Vegetales Especial,Proveedor_Vegetales_Mer,Perecederos,Vegetales,149,17.58,18.15,2619.42,Merida,Sureste,Almacen Sur,6,Entregado,0,,A. Morales
FAC-3097,27/03/2026,30/03/2026,Aves Especial,Proveedor_Aves_Gua,Proteínas,Aves,41,107.82,102.66,4420.62,Guadalajara,Occidente,Almacen Central,3,Entregado,0,,A. Morales
FAC-3098,23/02/2026,28/02/2026,Aves Especial,Proveedor_Aves_Mer,Proteínas,Aves,34,106.64,94.0,3625.76,Merida,Sureste,Almacen Sur,5,Incidencia,1,4.0,A. Morales
FAC-3099,10/03/2026,14/03/2026,Res Especial,Proveedor_Res_Mer,Proteínas,Res,184,184.7,174.69,33984.8,Merida,Sureste,Almacen Sur,4,Rechazado,1,5.0,A. Morales
FAC-3100,28/02/2026,02/03/2026,Lácteos Especial,Proveedor_Lácteos_Mon,Perecederos,Lácteos,366,52.14,52.4,19083.24,Monterrey,Norte,Almacen Norte,2,Rechazado,1,5.0,A. Morales
FAC-3101,25/01/2026,27/01/2026,Granos Especial,Proveedor_Granos_CDM,Abarrotes,Granos,312,17.66,16.25,5509.92,CDMX,Centro,Almacen Sur,2,Entregado,0,,A. Morales
FAC-3102,13/02/2026,15/02/2026,Aceites Especial,Proveedor_Aceites_Mon,Abarrotes,Aceites,336,545.78,521.0,183382.08,Monterrey,Norte,Almacen Norte,2,Entregado,0,,A. Morales
FAC-3103,04/02/2026,08/02/2026,Bebidas Especial,Proveedor_Bebidas_Mer,Abarrotes,Bebidas,126,26.31,25.24,3315.06,Merida,Sureste,Almacen Sur,4,Entregado,0,,A. Morales
FAC-3104,22/03/2026,24/03/2026,Vegetales Especial,Proveedor_Vegetales_Gua,Perecederos,Vegetales,61,32.78,33.43,1999.58,Guadalajara,Occidente,Almacen Central,2,Entregado,0,,A. Morales
FAC-3105,24/01/2026,25/01/2026,Granos Especial,Proveedor_Granos_Mon,Abarrotes,Granos,174,19.25,17.9,3349.5,Monterrey,Norte,Almacen Norte,1,Entregado,0,,A. Morales
FAC-3106,05/03/2026,06/03/2026,Frutas Especial,Proveedor_Frutas_Mon,Perecederos,Frutas,52,57.85,58.32,3008.2,Monterrey,Norte,Almacen Norte,1,Entregado,0,,A. Morales
FAC-3107,12/03/2026,18/03/2026,Vegetales Especial,Proveedor_Vegetales_Mer,Perecederos,Vegetales,270,42.19,39.76,11391.3,Merida,Sureste,Almacen Sur,6,Entregado,0,,A. Morales
FAC-3108,03/02/2026,06/02/2026,Vegetales Especial,Proveedor_Vegetales_Gua,Perecederos,Vegetales,123,49.58,44.9,6098.34,Guadalajara,Occidente,Almacen Central,3,Entregado,0,,A. Morales
FAC-3109,28/01/2026,30/01/2026,Lácteos Especial,Proveedor_Lácteos_CDM,Perecederos,Lácteos,269,75.28,78.41,20250.32,CDMX,Centro,Almacen Sur,2,Entregado,0,,A. Morales
FAC-3110,16/01/2026,18/01/2026,Lácteos Especial,Proveedor_Lácteos_CDM,Perecederos,Lácteos,245,73.49,68.1,18005.05,CDMX,Centro,Almacen Sur,2,Incidencia,1,9.0,A. Morales
FAC-3111,25/03/2026,26/03/2026,Aceites Especial,Proveedor_Aceites_CDM,Abarrotes,Aceites,202,549.45,568.3,110988.9,CDMX,Centro,Almacen Sur,1,Entregado,0,,A. Morales
FAC-3112,05/03/2026,07/03/2026,Frutas Especial,Proveedor_Frutas_Gua,Perecederos,Frutas,397,44.42,38.44,17634.74,Guadalajara,Occidente,Almacen Central,2,Entregado,0,,A. Morales
FAC-3113,18/03/2026,20/03/2026,Frutas Especial,Proveedor_Frutas_Gua,Perecederos,Frutas,57,55.25,48.97,3149.25,Guadalajara,Occidente,Almacen Central,2,Entregado,0,,A. Morales
FAC-3114,01/02/2026,04/02/2026,Lácteos Especial,Proveedor_Lácteos_Gua,Perecederos,Lácteos,67,109.18,99.81,7315.06,Guadalajara,Occidente,Almacen Central,3,Entregado,0,,A. Morales
FAC-3115,23/03/2026,25/03/2026,Cerdo Especial,Proveedor_Cerdo_CDM,Proteínas,Cerdo,326,152.8,137.78,49812.8,CDMX,Centro,Almacen Sur,2,Entregado,0,,A. Morales
FAC-3116,04/02/2026,06/02/2026,Granos Especial,Proveedor_Granos_Mon,Abarrotes,Granos,171,25.67,22.0,4389.57,Monterrey,Norte,Almacen Norte,2,Entregado,0,,A. Morales
FAC-3117,21/02/2026,23/02/2026,Lácteos Especial,Proveedor_Lácteos_Mon,Perecederos,Lácteos,119,38.15,35.33,4539.85,Monterrey,Norte,Almacen Norte,2,Entregado,0,,A. Morales
FAC-3118,12/01/2026,14/01/2026,Granos Especial,Proveedor_Granos_Mon,Abarrotes,Granos,346,23.3,24.16,8061.8,Monterrey,Norte,Almacen Norte,2,Rechazado,1,5.0,A. Morales
FAC-3119,17/01/2026,20/01/2026,Res Especial,Proveedor_Res_Gua,Proteínas,Res,167,173.15,159.59,28916.05,Guadalajara,Occidente,Almacen Central,3,Entregado,0,,A. Morales
FAC-3120,05/01/2026,06/01/2026,Bebidas Especial,Proveedor_Bebidas_Mon,Abarrotes,Bebidas,120,18.66,15.84,2239.2,Monterrey,Norte,Almacen Norte,1,Entregado,0,,A. Morales
FAC-3121,24/01/2026,28/01/2026,Res Especial,Proveedor_Res_Mer,Proteínas,Res,159,163.16,160.54,25942.44,Merida,Sureste,Almacen Sur,4,Entregado,0,,A. Morales
FAC-3122,11/01/2026,13/01/2026,Granos Especial,Proveedor_Granos_CDM,Abarrotes,Granos,206,21.77,22.66,4484.62,CDMX,Centro,Almacen Sur,2,Entregado,0,,A. Morales
FAC-3123,04/02/2026,06/02/2026,Vegetales Especial,Proveedor_Vegetales_Gua,Perecederos,Vegetales,267,41.21,42.89,11003.07,Guadalajara,Occidente,Almacen Central,2,Entregado,0,,A. Morales
FAC-3124,26/03/2026,27/03/2026,Aceites Especial,Proveedor_Aceites_Mon,Abarrotes,Aceites,228,529.12,523.86,120639.36,Monterrey,Norte,Almacen Norte,1,Entregado,0,,A. Morales
FAC-3125,05/01/2026,11/01/2026,Bebidas Especial,Proveedor_Bebidas_Mer,Abarrotes,Bebidas,144,25.99,24.37,3742.56,Merida,Sureste,Almacen Sur,6,Entregado,0,,A. Morales
FAC-3126,09/01/2026,15/01/2026,Aceites Especial,Proveedor_Aceites_Mer,Abarrotes,Aceites,164,638.22,650.61,104668.08,Merida,Sureste,Almacen Sur,6,Entregado,0,,A. Morales
FAC-3127,22/01/2026,27/01/2026,Res Especial,Proveedor_Res_Mer,Proteínas,Res,165,185.2,176.9,30558.0,Merida,Sureste,Almacen Sur,5,Parcial,1,4.0,A. Morales
FAC-3128,27/03/2026,29/03/2026,Vegetales Especial,Proveedor_Vegetales_Gua,Perecederos,Vegetales,337,30.72,31.45,10352.64,Guadalajara,Occidente,Almacen Central,2,Entregado,0,,A. Morales
FAC-3129,01/01/2026,03/01/2026,Lácteos Especial,Proveedor_Lácteos_Mon,Perecederos,Lácteos,271,30.84,30.58,8357.64,Monterrey,Norte,Almacen Norte,2,Entregado,0,,A. Morales
